ID,Section,Scenario,Given,When,Then,DiffPriority,Trigger,Verification,RegressionCoverage,RegressionRef,Caveat
S1,Shopify-initiated,New order placed,a customer is checking out on a connected Shopify store,the order is placed,MCSL imports it as INITIAL and derives payment type (COD vs pre-paid),-,orders/create,Verified (intake),Covered,Orders Grid intake / OPEN section,Payment-type derivation inferred
S2,Shopify-initiated,Edit open order,an existing open order,the merchant edits it,order-updates saves a new version and diffs vs last-applied,varies,orders/updated,Verified,Covered,Order_Update (general),-
S3,Shopify-initiated,Cancel order,an open order,the merchant cancels it in Shopify,internal status moves to CANCELLED,-,orders/cancelled,Verified,Covered,Order_Update 16.0 (bulk cancel across all statuses),-
S4,Shopify-initiated,Void unpaid order,an unpaid order,the merchant voids it,financial_status moves to voided and syncs at 45,45,orders/updated or orders/cancelled,Inferred,Not-covered (testable),-,Void-specific path not in regression and not line-verified
S5,Shopify-initiated,Archive order age cutoff,a fulfilled or closed order,it is archived (closed_at set),it is dropped if closed_at is older than ignoreOrdersClosedBeforeDays otherwise processed,-,orders/updated,Verified,Not-covered (testable),-,TIER-1 GAP: age-cutoff behavior untested in regression
S6,Shopify-initiated,Capture authorized payment,financial_status is authorized,the merchant captures payment,a priority-45 update reaches MCSL and the order becomes eligible for paid-gated automation,45,orders/updated,Verified (diff),Partial,Order_Update payment rows are COD-focused not auth-capture,Automation-eligibility effect inferred
S7,Shopify-initiated,Authorization expires,an authorized order,the authorization expires uncaptured,financial_status moves to expired and syncs at 45,45,orders/updated,Verified (diff),Not-covered (testable),-,TIER-1 GAP: auth-expiry untested
S8,Shopify-initiated,Deferred order paid on due date,a pay-later order with an outstanding balance,the customer pays on the due date,financial_status moves to paid (45) and total_outstanding to 0 (50); notification uses max 50,50,orders/updated,Verified (diff),Not-covered (testable),-,TIER-1 GAP: deferred/pay-later untested
S9,Shopify-initiated,Partial payment captured,an order awaiting payment,the merchant captures a partial amount,financial_status moves to partially_paid (45) and outstanding reduces (50); flagged PARTIAL_COD if COD gateway,50,orders/updated,Verified (diff),Partial,Order_Update 31 (Partial COD) covers collectible amount,PARTIAL_COD mapping inferred
S10,Shopify-initiated,Full refund issued,a paid order,the merchant issues a full refund,financial_status moves to refunded at 45 and maps to PRE_PAID,45,orders/updated,Verified (diff),Not-covered (testable),-,Refund not in Order_Update sheet
